data length,200
frequency,160
amp,2
offset,0
phase,0
xpos,value
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,0
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,0
