data length,200
frequency,160
amp,2
offset,0
phase,0
xpos,value
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,1
